haskell-crypton-connection 0.3.2-7
haskell-crypton-x509 1.7.6-28
haskell-crypton-x509-store 1.6.9-28
haskell-crypton-x509-system 1.6.7-28
haskell-crypton-x509-validation 1.6.12-28
haskell-data-array-byte 0.1.0.1-55
haskell-data-default 0.7.1.1-306
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.0.1-37
haskell-data-default-instances-dlist 0.0.1-319
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-102
haskell-dec 0.0.5-5
haskell-digest 0.0.1.7-2
haskell-digits 0.3.1-21
haskell-distributive 0.6.2.1-209
haskell-dlist 1.0-241
haskell-doclayout 0.4.0.1-29
haskell-doctemplates 0.11-70
haskell-easy-file 0.2.5-21
haskell-emojis 0.1.3-10
haskell-erf 2.0.0.0-25
haskell-fast-logger 3.1.2-72
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-75
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glob 0.10.2-90
haskell-gridtables 0.1.0.0-48
haskell-haddock-library 1.11.0-16
haskell-hashable 1.4.3.0-46
haskell-hourglass 0.2.12-246
haskell-hslua 2.3.0-51
haskell-hslua-aeson 2.3.0.1-33
haskell-hslua-classes 2.3.0-52
haskell-hslua-core 2.3.1-44
haskell-hslua-list 1.1.1-59
haskell-hslua-marshalling 2.3.1-4
haskell-hslua-module-doclayout 1.1.0-57
haskell-hslua-module-path 1.1.0-52
haskell-hslua-module-system 1.1.0.1-26
haskell-hslua-module-text 1.1.0.1-26
haskell-hslua-module-version 1.1.0-52
haskell-hslua-module-zip 1.1.1-21
haskell-hslua-objectorientation 2.3.0-48
haskell-hslua-packaging 2.3.1-13
haskell-hslua-repl 0.1.2-10
haskell-hslua-typing 0.1.1-6
haskell-http-api-data 0.5.1-53
haskell-http-client 0.7.15-22
haskell-http-client-tls 0.3.6.3-56
haskell-http-date 0.0.11-136
haskell-http-media 0.8.1.1-14
haskell-http-types 0.12.4-5
haskell-http2 4.1.0-20
haskell-hunit 1.6.2.0-227
haskell-indexed-traversable 0.1.3-67
haskell-indexed-traversable-instances 0.1.1.2-43
haskell-integer-logarithms 1.0.3.1-7
haskell-iproute 1.7.12-82
haskell-ipynb 0.2-138
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-22
haskell-juicypixels 3.3.8-31
haskell-lexer 1.1.1-2
haskell-libyaml 0.1.4-4
haskell-lpeg 1.0.4-26
haskell-lua 2.3.2-6
haskell-memory 0.18.0-8
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-102
haskell-mono-traversable 1.0.17.0-7
haskell-network 3.1.4.0-20
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-31
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-2
haskell-onetuple 0.3.1-75
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-29
haskell-ordered-containers 0.2.3-2
haskell-pandoc 3.1.8-31
haskell-pandoc-lua-engine 0.2.1.2-19
haskell-pandoc-lua-marshal 0.2.3-8
haskell-pandoc-server 0.1.0.5-35
haskell-pandoc-types 1.23.1-20
haskell-pem 0.2.4-286
haskell-pretty-show 1.10-15
haskell-prettyprinter 1.7.1-164
haskell-primitive 0.7.4.0-111
haskell-psqueues 0.2.8.0-10
haskell-quickcheck 2.14.3-64
haskell-random 1.2.1.2-8
haskell-recv 0.1.0-30
haskell-regex-base 0.94.0.2-3
haskell-regex-tdfa 1.3.2.2-43
haskell-resourcet 1.2.6-51
haskell-safe 0.3.21-5
haskell-safe-exceptions 0.1.7.4-21
haskell-scientific 0.3.7.0-113
haskell-semialign 1.2.0.1-159
haskell-semigroupoids 5.3.7-141
haskell-servant 0.20.1-11
haskell-servant-server 0.20-20
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-35
haskell-singleton-bool 0.1.7-3
haskell-skylighting 0.14-14
haskell-skylighting-core 0.14-13
haskell-skylighting-format-ansi 0.1-120
haskell-skylighting-format-blaze-html 0.1.1.2-7
haskell-skylighting-format-context 0.1.0.2-85
haskell-skylighting-format-latex 0.1-120
haskell-socks 0.6.1-237
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-6
haskell-splitmix 0.1.0.5-22
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-26
haskell-strict 0.4.0.1-238
haskell-string-conversions 0.4.0.1-171
haskell-syb 0.7.2.4-8
haskell-tagged 0.8.8-2
haskell-tagsoup 0.14.8-226
haskell-temporary 1.3-585
haskell-texmath 0.12.8.4-14
haskell-text-conversions 0.3.1.1-63
haskell-text-icu 0.8.0.5-2
haskell-text-short 0.1.5-79
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-2
haskell-th-lift 0.8.4-2
haskell-th-lift-instances 0.1.20-47
haskell-these 1.1.1.1-265
haskell-time-compat 1.9.6.1-97
haskell-time-manager 0.0.1-35
haskell-tls 1.8.0-28
haskell-toml-parser 1.3.1.3-17
haskell-transformers-base 0.4.6-102
haskell-transformers-compat 0.7.2-2
haskell-type-equality 1.0.1-1
haskell-typed-process 0.2.11.1-15
haskell-typst 0.3.2.1-31
haskell-typst-symbols 0.1.4-2
haskell-unicode-collation 0.1.3.6-12
haskell-unicode-data 0.4.0.1-33
haskell-unicode-transforms 0.4.0.1-74
haskell-uniplate 1.6.13-222
haskell-unix-compat 0.7.1-15
haskell-unix-time 0.4.12-5
haskell-unliftio 0.2.25.0-10
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-17
haskell-utf8-string 1.0.2-150
haskell-uuid-types 1.0.5.1-16
haskell-vault 0.3.1.5-184
haskell-vector 0.13.1.0-31
haskell-vector-algorithms 0.9.0.2-2
haskell-vector-stream 0.1.0.1-2
haskell-wai 3.2.4-18
haskell-wai-app-static 3.1.9-11
haskell-wai-cors 0.2.7-354
haskell-wai-extra 3.1.14-44
haskell-wai-logger 2.4.0-437
haskell-warp 3.3.30-57
haskell-witherable 0.4.2-100
haskell-word8 0.1.3-23
haskell-xml 1.3.14-31
haskell-xml-conduit 1.9.1.3-52
haskell-xml-types 0.3.8-9
haskell-yaml 0.11.11.2-48
haskell-zip-archive 0.4.3.2-2
haskell-zlib 0.6.3.0-60
haveged 1.9.18-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-2
highlight 4.12-1
highway 1.2.0-1
hivex 1.3.23-6
hplip 1:3.23.12-6
hslua-cli 1.4.1-48
htop 3.3.0-3
http-parser 2.9.4-2
httpie 3.2.2-2
hunspell 1.7.2-1
hwdata 0.382-1
hwinfo 23.2-1
hwloc 2.10.0-1
